Date,National,New York City,Atlanta,Dallas,Washington DC,Los Angeles,,National,New York City,Atlanta,Dallas,Washington DC,Los Angeles
Jan-20,744,292,9,6,27,30,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Feb-20,741,294,9,6,27,30,,-0.40%,0.68%,0.00%,0.00%,0.00%,0.00%
Mar-20,500,181,7,5,17,22,,-32.80%,-38.01%,-22.22%,-16.67%,-37.04%,-26.67%
Apr-20,152,38,3,3,3,11,,-79.57%,-86.99%,-66.67%,-50.00%,-88.89%,-63.33%
May-20,235,67,4,4,4,16,,-68.41%,-77.05%,-55.56%,-33.33%,-85.19%,-46.67%
Jun-20,246,81,4,4,4,16,,-66.94%,-72.26%,-55.56%,-33.33%,-85.19%,-46.67%
Jul-20,257,98,4,2,5,14,,-65.46%,-66.44%,-55.56%,-66.67%,-81.48%,-53.33%
Aug-20,341,134,5,3,7,18,,-54.17%,-54.11%,-44.44%,-50.00%,-74.07%,-40.00%
Sep-20,286,114,3,3,6,15,,-61.56%,-60.96%,-66.67%,-50.00%,-77.78%,-50.00%
Oct-20,293,117,3,3,7,15,,-60.62%,-59.93%,-66.67%,-50.00%,-74.07%,-50.00%
Nov-20,335,131,4,3,8,19,,-54.97%,-55.14%,-55.56%,-50.00%,-70.37%,-36.67%
Dec-20,252,101,3,2,6,13,,-66.13%,-65.41%,-66.67%,-66.67%,-77.78%,-56.67%
Jan-21,318,127,4,3,7,16,,-57.26%,-56.51%,-55.56%,-50.00%,-74.07%,-46.67%
Feb-21,266,104,3,2,6,14,,-64.25%,-64.38%,-66.67%,-66.67%,-77.78%,-53.33%
Mar-21,298,119,3,3,7,15,,-59.95%,-59.25%,-66.67%,-50.00%,-74.07%,-50.00%
Apr-21,313,126,4,3,8,16,,-57.93%,-56.85%,-55.56%,-50.00%,-70.37%,-46.67%
May-21,410,172,5,3,10,20,,-44.89%,-41.10%,-44.44%,-50.00%,-62.96%,-33.33%
Jun-21,364,157,4,3,9,18,,-51.08%,-46.23%,-55.56%,-50.00%,-66.67%,-40.00%
Jul-21,383,166,4,3,10,19,,-48.52%,-43.15%,-55.56%,-50.00%,-62.96%,-36.67%
Aug-21,536,221,5,4,13,29,,-27.96%,-24.32%,-44.44%,-33.33%,-51.85%,-3.33%
Sep-21,496,203,4,3,11,27,,-33.33%,-30.48%,-55.56%,-50.00%,-59.26%,-10.00%